Sample Number,Article Number,Year & Month,Journal,DOI,Matrix name,Monomer,Functional group,Initiator,Matrix modification method,Matrix relative dielectric constant (1Hz),Matrix relative dielectric constant (10Hz),Matrix relative dielectric constant (100Hz),Matrix relative dielectric constant (1kHz),Matrix relative dielectric constant (10kHz),Matrix relative dielectric constant (10^5Hz),Matrix relative dielectric constant (1MHz),Matrix dielectric loss (1Hz),Matrix dielectric loss (10Hz),Matrix dielectric loss (100Hz),Matrix dielectric loss (1kHz),Matrix dielectric loss (10kHz),Matrix dielectric loss (10^5Hz),Matrix dielectric loss (1MHz),Matrix breakdown electric field/kV·mm-1,Matrix conductivity (1Hz)/S·m-1,Matrix conductivity (10Hz)/S·m-1,Matrix conductivity (100Hz)/S·m-1,Matrix conductivity (1kHz)/S·m-1,Matrix conductivity (10kHz)/S·m-1,Matrix conductivity (10^5Hz)/S·m-1,Matrix conductivity (1MHz)/S·m-1,Matrix elastic modulus/MPa,Particle material category,Particle conductivity category,Particle component,Particle main elements,Particle morphology,Particle size/nm,Particle arrangement,Filling ratio (wt),Filling ratio (vol),Particle synthesis method,Particle modification method,Particle relative dielectric constant (1Hz),Particle relative dielectric constant (10Hz),Particle relative dielectric constant (100Hz),Particle relative dielectric constant (1kHz),Particle relative dielectric constant (10kHz),Particle relative dielectric constant (10^5Hz),Particle relative dielectric constant (1MHz),Particle dielectric loss (1Hz),Particle dielectric loss (10Hz),Particle dielectric loss (100Hz),Particle dielectric loss (1kHz),Particle dielectric loss (10kHz),Particle dielectric loss (10^5Hz),Particle dielectric loss (1MHz),Particle conductivity (1Hz)/S·m-1,Particle conductivity (10Hz)/S·m-1,Particle conductivity (100Hz)/S·m-1,Particle conductivity (1kHz)/S·m-1,Particle conductivity (10kHz)/S·m-1,Particle conductivity (10^5Hz)/S·m-1,Particle conductivity (1MHz)/S·m-1,Preparation of composite,Composite thickness/mm,Composite relative dielectric constant (1Hz),Composite relative dielectric constant (10Hz),Composite relative dielectric constant (100Hz),Composite relative dielectric constant (1kHz),Composite relative dielectric constant (10kHz),Composite relative dielectric constant (10^5Hz),Composite relative dielectric constant (1MHz),Composite elastic modulus/MPa,Composite dielectric loss (1Hz),Composite dielectric loss (10Hz),Composite dielectric loss (100Hz),Composite dielectric loss (1kHz),Composite dielectric loss (10kHz),Composite dielectric loss (10^5Hz),Composite dielectric loss (1MHz),Composite conductivity (1Hz)/S·m-1,Composite conductivity (10Hz)/S·m-1,Composite conductivity (100Hz)/S·m-1,Composite conductivity (1kHz)/S·m-1,Composite conductivity (10kHz)/S·m-1,Composite conductivity (10^5Hz)/S·m-1,Composite conductivity (1MHz)/S·m-1,Maximum strain,Breakdown voltage/kV,Breakdown electric field/kV·mm-1,Pre-stretching ratio,Prestress/N,Applied electric field/kV·mm,Frequency/Hz,Actuation displacement/mm,Actuating force/N,Actuating strain,Stress/MPa,Area strain,Response time/ms,Recovery time/ms,Response speed/Hz,Maximum bandwidth/Hz,Electromechanical sensitivity/MPa-1,Elastic energy density/MPa-1,Power density/W·kg-1,Energy density/J·kg-1,Energy efficiency/%,Cyclic voltage/Kv,Cyclic electric field/kV·mm-1,Cyclic strain,Cycle life,Time constant/ms,Single type particles or not,2nd particle material category,2nd particle conductivity category,2nd particle component,2nd particle main elements,2nd particle morphology,2nd particle size,2nd particle arrangement,2nd filling ratio (wt),2nd filling ratio (vol),2nd particle synthesis method,2nd particle modification method,2nd particle relative dielectric constant (1Hz),2nd particle relative dielectric constant (10Hz),2nd particle relative dielectric constant (100Hz),2nd particle relative dielectric constant (1kHz),2nd particle relative dielectric constant (10kHz),2nd particle relative dielectric constant (10^5Hz),2nd particle relative dielectric constant (1MHz),2nd particle dielectric loss (1Hz),2nd particle dielectric loss (10Hz),2nd particle dielectric loss (100Hz),2nd particle dielectric loss (1kHz),2nd particle dielectric loss (10kHz),2nd particle dielectric loss (10^5Hz),2nd particle dielectric loss (1MHz),2nd particle conductivity (1Hz),2nd particle conductivity (10Hz),2nd particle conductivity (100Hz),2nd particle conductivity (1kHz),2nd particle conductivity (10kHz),2nd particle conductivity (10^5Hz),2nd particle conductivity (1MHz),3rd particle material category,3rd particle conductivity category,3rd particle component,3rd particle main elements,3rd particle morphology,3rd particle size,3rd particle arrangement,3rd doping ratio (wt),3rd doping ratio (vol),3rd particle synthesis method,3rd particle modification method,3rd particle relative dielectric constant (1Hz),3rd particle relative dielectric constant (10Hz),3rd particle relative dielectric constant (100Hz),3rd particle relative dielectric constant (1kHz),3rd particle relative dielectric constant (10kHz),3rd particle relative dielectric constant (10^5Hz),3rd particle relative dielectric constant (1MHz),3rd particle dielectric loss (1Hz),3rd particle dielectric loss (10Hz),3rd particle dielectric loss (100Hz),3rd particle dielectric loss (1kHz),3rd particle dielectric loss (10kHz),3rd particle dielectric loss (10^5Hz),3rd particle dielectric loss (1MHz),3rd particle conductivity (1Hz),3rd particle conductivity (10Hz),3rd particle conductivity (100Hz),3rd particle conductivity (1kHz),3rd particle conductivity (10kHz),3rd particle conductivity (10^5Hz),3rd particle conductivity (1MHz)
1,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV23 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,2.25,2.5,2.6,2.6,,0.578,,,0.1,0.015,0.001,0.001,,,,1.69E-09,0.000000002,1.80E-09,0.000000016,,1.989,,66.1,,,66,,,,0.106,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV23 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,2.25,2.5,2.6,2.6,,0.578,,,0.1,0.015,0.001,0.001,,,,1.69E-09,0.000000002,1.80E-09,0.000000016,,1.989,,66.1,,,50,,,,0.048,0.0583,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV24 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.136,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,4.4,4.2,3.6,3.2,,1.073,,,0.05,0.08,0.1,0.08,,,,7.75E-10,0.00000001,0.00000011,0.0000008,,3.588,,61.7,,,61.5,,,,0.108,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV24 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.136,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,4.4,4.2,3.6,3.2,,1.073,,,0.05,0.08,0.1,0.08,,,,7.75E-10,0.00000001,0.00000011,0.0000008,,3.588,,61.7,,,50,,,,0.048,0.0947,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV25 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.192,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,5.6,5.1,4,3.4,,2.124,,,0.06,0.1,0.15,0.09,,,,2.27E-09,0.00000003,0.0000003,0.000002,,3.46,,64.65,,,64,,,,0.069,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV25 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.192,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,5.6,5.1,4,3.4,,2.124,,,0.06,0.1,0.15,0.09,,,,2.27E-09,0.00000003,0.0000003,0.000002,,3.46,,64.65,,,50,,,,0.041,0.142,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV26 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.241,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,6.4,5.6,4.5,3.5,,2.741,,,0.07,0.15,0.17,0.12,,,,2.91E-09,0.00000004,0.0000004,0.0000023,,3.736,,72.4,,,73,,,,0.06,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV26 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.241,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,,,,6.4,5.6,4.5,3.5,,2.741,,,0.07,0.15,0.17,0.12,,,,2.91E-09,0.00000004,0.0000004,0.0000023,,3.736,,72.4,,,50,,,,0.0252,0.132,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV27 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.275,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,0.1529,,,7.5,6.3,4.6,3.6,,4.971,,,0.09,0.17,0.2,0.18,,,,5.39E-09,0.00000005,0.0000006,0.000003,,3.655,,67.75,,,67,,,,0.032,,,,,,,,,,,,,32.7,,2700,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV27 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,聚合物,导体,PANI,C/H/N,中空胶囊,380,各向同性,,0.275,乳液聚合,PDVB包覆,,,,,,,,,,,,,,,,,,,,,,物理混合,0.1529,,,7.5,6.3,4.6,3.6,,4.971,,,0.09,0.17,0.2,0.18,,,,5.39E-09,0.00000005,0.0000006,0.000003,,3.655,,67.75,,,50,,,,0.0185,0.1754,,,,,,,,,,,,32.7,,2700,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
